date,holiday_name,type,comment
2020-07-07,George Town Heritage Day,Regional Holiday,Penang only
2020-07-11,Birthday of the Governor of Penang,Regional Holiday,Penang
2020-07-17,Birthday of the Raja of Perlis,Regional Holiday,Perlis only
2020-07-22,Sarawak Day,Regional Holiday,
2021-08-10,Awal Muharram,National Holiday,Hijri New Year
2021-08-24,Melaka Governor's Birthday,Regional Holiday,Melaka
2021-08-31,National Day,National Holiday,Independence Day
2021-09-13,The Sultan of Johor Hol,Regional Holiday,Johor only
2021-09-16,Malaysia Day,National Holiday,Became a Federal Holiday in 2010
2021-10-02,Birthday of the Governor of Sabah,Regional Holiday,Sabah only. 1st Saturday in October
2021-10-09,Birthday of the Governor of Sarawak,Regional Holiday,Sarawak only
2021-10-19,Maulidur Rasul,National Holiday,Birthday of Prophet Muhammad
2021-11-04,Deepavali,Regional Holiday,The festival of lights. Except Sarawak
2021-11-05,Birthday of the Sultan of Perak,Regional Holiday,Perak
2021-11-11,Birthday of the Sultan of Kelantan,Regional Holiday,Kelantan only
2021-11-12,Birthday of the Sultan of Kelantan Holiday,Regional Holiday,Kelantan only. Second day
2021-11-20,Special Public Holiday,Regional Holiday,Melaka
2021-12-03,Public Holiday,Regional Holiday,Federal Territories
2021-12-11,Birthday of The Sultan of Selangor,Regional Holiday,Selangor
2021-12-24,Christmas Eve,Regional Holiday,Sabah
2021-12-25,Christmas Day,National Holiday,
2020-07-30,Birthday of the Sultan of Pahang,Regional Holiday,Pahang only
2020-07-30,Arafat Day,Regional Holiday,
2020-07-31,Hari Raya Haji,National Holiday,Feast of the sacrifice
2020-08-01,Hari Raya Haji Holiday,Regional Holiday,Feast of the sacrifice
2020-08-20,Awal Muharram,National Holiday,Hijri New Year
2020-08-31,National Day,National Holiday,Independence Day
2020-09-16,Malaysia Day,National Holiday,Became a Federal Holiday in 2010
2020-09-24,The Sultan of Johor Hol,Regional Holiday,Johor only
2020-09-26,Polling Day,Regional Holiday,Sabah
2020-10-03,Birthday of the Governor of Sabah,Regional Holiday,Sabah only. 1st Saturday in October
2020-10-09,Melaka Governor's Birthday,Regional Holiday,Melaka
2020-10-10,Birthday of the Governor of Sarawak,Regional Holiday,Sarawak only
2020-10-29,Maulidur Rasul,National Holiday,Birthday of Prophet Muhammad
2020-11-06,Birthday of the Sultan of Perak,Regional Holiday,Perak
2020-11-11,Birthday of the Sultan of Kelantan,Regional Holiday,Kelantan only
2020-11-12,Birthday of the Sultan of Kelantan Holiday,Regional Holiday,Kelantan only. Second day
2020-11-14,Deepavali,Regional Holiday,The festival of lights. Except Sarawak
2020-12-11,Birthday of The Sultan of Selangor,Regional Holiday,Selangor only. Always celebrated on 11 December
2020-12-24,Christmas Eve,Regional Holiday,Sabah
2020-12-25,Christmas Day,National Holiday,
2022-01-01,New Year's Day,Regional Holiday,Most states
2022-01-14,Birthday of the Sultan of Negeri Sembilan,Regional Holiday,Negeri Sembilan only
2022-01-18,Thaipusam,Regional Holiday,Several states
2022-02-01,Chinese New Year,National Holiday,1st day of 1st lunar month
2022-02-02,Chinese New Year Holiday,National Holiday,2nd day of 1st lunar month
2022-02-03,Federal Territory Day Holiday,Regional Holiday,"Kuala Lumpur, Labuan, Putrajaya"
2022-03-01,Isra and Miraj,Regional Holiday,"Kedah, Perlis, Negeri Sembilan, Terengganu"
2022-03-04,Anniversary of Installation of the Sultan,Regional Holiday,Terengganu
2022-03-23,Birthday of the Sultan of Johor,Regional Holiday,Johor only
2022-04-03,Beginning of Ramadan,Regional Holiday,"Johor, Kedah, Malacca"
2022-04-15,Good Friday,Regional Holiday,Sabah and Sarawak
2022-04-15,Declaration of Malacca as a Historical City,Regional Holiday,Malacca
2022-04-19,Nuzul Al-Quran Day,Regional Holiday,Many regions
2022-04-26,Birthday of the Sultan of Terengganu,Regional Holiday,Terengganu
2022-05-01,Labour Day,National Holiday,International Workers' Day
2022-05-02,Hari Raya Aidilfitri,National Holiday,End of Ramadan
2022-05-03,Hari Raya Aidilfitri Holiday,National Holiday, 
2022-05-04,Hari Raya Aidilfitri Holiday,Regional Holiday,Johor
2022-05-04,Labour Day (in lieu),Regional Holiday,Most states
2022-05-15,Wesak Day,National Holiday,Birth of Buddha
2022-05-16,Wesak Day (in lieu),Regional Holiday,Birth of Buddha
2022-05-17,Birthday of the Raja of Perlis,Regional Holiday,Perlis only
2022-05-22,The Sultan of Pahang Hol,Regional Holiday,Pahang
2022-05-30,Pesta Kaamatan,Regional Holiday,Sabah and Labuan only
2022-05-31,Pesta Kaamatan,Regional Holiday,Sabah and Labuan only
2022-06-01,Gawai Dayak,Regional Holiday,Sarawak
2022-06-02,Gawai Dayak,Regional Holiday,Sarawak
2022-06-06,Birthday of SPB Yang di Pertuan Agong,National Holiday,1st Monday in June
2022-06-19,Birthday of the Sultan of Kedah,Regional Holiday,Kedah only
2022-07-07,George Town Heritage Day,Regional Holiday,Penang only
2022-07-09,Birthday of the Governor of Penang,Regional Holiday,Penang
2022-07-09,Arafat Day,Regional Holiday,
2022-07-10,Hari Raya Haji,National Holiday,Feast of the sacrifice
2022-07-11,Hari Raya Haji Holiday,Regional Holiday,Feast of the sacrifice
2022-07-11,Hari Raya Haji (in lieu),Regional Holiday,Feast of the sacrifice
2022-07-22,Sarawak Day,Regional Holiday,
2022-07-30,Birthday of the Sultan of Pahang,Regional Holiday,Pahang only
2022-07-30,Awal Muharram,National Holiday,Hijri New Year
2022-08-24,Melaka Governor's Birthday,Regional Holiday,Melaka
2022-08-31,National Day,National Holiday,Independence Day
2022-09-03,The Sultan of Johor Hol,Regional Holiday,Johor only
2022-09-11,Public Holiday,Regional Holiday,Johor
2022-09-16,Malaysia Day,National Holiday,Became a Federal Holiday in 2010
2022-10-01,Birthday of the Governor of Sabah,Regional Holiday,Sabah only. 1st Saturday in October
2022-10-08,Birthday of the Governor of Sarawak,Regional Holiday,Sarawak only
2022-10-09,Maulidur Rasul,National Holiday,Birthday of Prophet Muhammad
2022-10-10,Maulidur Rasul (in lieu),Regional Holiday,"Except JR, KDH, KTN, TRG"
2022-10-16,Public Holiday,Regional Holiday,Johor
2022-10-24,Deepavali,Regional Holiday,Except Sarawak
2022-11-04,Birthday of the Sultan of Perak,Regional Holiday,Perak
2022-11-11,Birthday of the Sultan of Kelantan,Regional Holiday,Kelantan only
2022-11-12,Birthday of the Sultan of Kelantan Holiday,Regional Holiday,Kelantan only. Second day
2022-11-18,Public Holiday,Regional Holiday,In conjunction with the 15th General Election
2022-11-19,Public Holiday,Regional Holiday,For participation in General Elections
2022-11-20,Public Holiday,Regional Holiday,In conjunction with the 15th General Election
2022-11-27,Public Holiday,Regional Holiday,Johor
2022-11-28,Public Holiday,Regional Holiday,For participation in General Elections
2022-12-11,Birthday of The Sultan of Selangor,Regional Holiday,Selangor only
2022-12-12,Birthday of The Sultan of Selangor (in lieu),Regional Holiday,Selangor only
2022-12-24,Christmas Eve,Regional Holiday,Sabah
2022-12-25,Christmas Day,National Holiday,
2022-12-26,Christmas Day (in lieu),National Holiday,
